,id_jugador,id_pais_jugador,id_pais_contra,fecha_partido,posicion,minutos_jugados
24188,,,,,,13
24189,,,,,,1
24190,,,,,,33
24191,,,,,,45
24192,,,,,,45
24193,,,,,,5
24194,,,,,,10
24195,,,,,,31
24196,,,,,,57
24197,,,,,,78
24198,,,,,,90
24199,,,,,,45
24200,,,,,,90
24201,,,,,,90
24202,,,,,,90
24203,,,,,,90
24204,,,,,,90
24205,,,,,,90
24206,,,,,,90
24207,,,,,,90
24208,,,,,,90
24209,,,,,,90
24210,,,,,,90
24211,,,,,,90
24212,,,,,,120
24213,,,,,,90
24214,,,,,,70
24215,,,,,,17
24216,,,,,,35
24217,,,,,,66
24218,,,,,,90
24219,,,,,,87
24220,,,,,,82
24221,,,,,,68
24222,,,,,,14
24223,,,,,,70
24224,,,,,,21
24225,,,,,,13
24226,,,,,,90
24227,,,,,,73
24228,,,,,,74
24229,,,,,,18
24230,,,,,,7
24231,,,,,,90
24232,,,,,,90
24233,,,,,,90
24234,,,,,,28
24235,,,,,,67
24236,,,,,,14
24237,,,,,,68
24238,,,,,,73
24239,,,,,,87
24240,,,,,,1
24241,,,,,,51
24242,,,,,,70
24243,,,,,,17
24244,,,,,,5
24245,,,,,,78
24246,,,,,,7
24247,,,,,,61
24248,,,,,,90
24249,,,,,,45
24250,,,,,,45
24251,,,,,,62
24252,,,,,,45
24253,,,,,,89
24254,,,,,,45
24255,,,,,,1
24256,,,,,,64
24257,,,,,,84
24258,,,,,,90
24259,,,,,,64
24260,,,,,,89
24261,,,,,,90
24262,,,,,,21
24263,,,,,,18
24264,,,,,,69
24265,,,,,,76
24266,,,,,,10
24267,,,,,,63
24268,,,,,,18
24269,,,,,,25
24270,,,,,,90
24271,,,,,,90
24272,,,,,,90
24273,,,,,,90
24274,,,,,,41
24275,,,,,,69
24276,,,,,,71
24277,,,,,,45
24278,,,,,,64
24279,,,,,,54
24280,,,,,,3
24281,,,,,,86
24282,,,,,,45
24283,,,,,,90
24284,,,,,,90
24285,,,,,,90
24286,,,,,,60
24287,,,,,,60
24288,,,,,,45
24289,,,,,,77
24290,,,,,,90
24291,,,,,,83
24292,,,,,,90
24293,,,,,,23
24294,,,,,,90
24295,,,,,,90
24296,,,,,,73
24297,,,,,,17
24298,,,,,,18
24299,,,,,,90
24300,,,,,,90
24301,,,,,,90
24302,,,,,,86
24303,,,,,,90
24304,,,,,,90
24305,,,,,,90
24306,,,,,,80
24307,,,,,,74
24308,,,,,,69
24309,,,,,,79
24310,,,,,,84
24311,,,,,,27
24312,,,,,,67
24313,,,,,,69
24314,,,,,,77
24315,,,,,,90
24316,,,,,,90
24317,,,,,,18
24318,,,,,,1
24319,,,,,,21
24320,,,,,,90
24321,,,,,,90
24322,,,,,,90
24323,,,,,,90
24324,,,,,,81
24325,,,,,,90
24326,,,,,,90
24327,,,,,,90
24328,,,,,,90
24329,,,,,,90
24330,,,,,,45
24331,,,,,,90
24332,,,,,,87
24333,,,,,,90
24334,,,,,,68
24335,,,,,,63
24336,,,,,,90
24337,,,,,,86
24338,,,,,,87
24339,,,,,,90
24340,,,,,,90
24341,,,,,,87
24342,,,,,,80
24343,,,,,,21
24344,,,,,,90
24345,,,,,,90
24346,,,,,,90
24347,,,,,,90
24348,,,,,,90
24349,,,,,,90
24350,,,,,,90
24351,,,,,,90
24352,,,,,,90
24353,,,,,,90
24354,,,,,,90
24355,,,,,,90
24356,,,,,,31
24357,,,,,,9
24358,,,,,,90
24359,,,,,,45
24360,,,,,,90
24361,,,,,,90
24362,,,,,,1
24363,,,,,,21
24364,,,,,,74
24365,,,,,,17
24366,,,,,,14
24367,,,,,,72
24368,,,,,,18
24369,,,,,,22
24370,,,,,,4
24371,,,,,,90
24372,,,,,,69
24373,,,,,,77
24374,,,,,,18
24375,,,,,,45
24376,,,,,,68
24377,,,,,,64
24378,,,,,,90
24379,,,,,,90
24380,,,,,,90
24381,,,,,,90
24382,,,,,,90
24383,,,,,,90
24384,,,,,,90
24385,,,,,,90
24386,,,,,,90
24387,,,,,,90
24388,,,,,,90
24389,,,,,,90
24390,,,,,,90
24391,,,,,,90
24392,,,,,,90
24393,,,,,,86
24394,,,,,,90
24395,,,,,,90
24396,,,,,,90
24397,,,,,,72
24398,,,,,,45
24399,,,,,,61
24400,,,,,,63
24401,,,,,,90
24402,,,,,,90
24403,,,,,,68
24404,,,,,,17
24405,,,,,,55
24406,,,,,,45
24407,,,,,,45
24408,,,,,,21
24409,,,,,,83
24410,,,,,,15
24411,,,,,,18
24412,,,,,,25
24413,,,,,,32
24414,,,,,,26
24415,,,,,,7
24416,,,,,,20
24417,,,,,,20
24418,,,,,,90
24419,,,,,,16
24420,,,,,,30
24421,,,,,,45
24422,,,,,,30
24423,,,,,,15
24424,,,,,,7
24425,,,,,,61
24426,,,,,,29
24427,,,,,,10
24428,,,,,,45
24429,,,,,,1
24430,,,,,,4
24431,,,,,,35
24432,,,,,,60
24433,,,,,,64
24434,,,,,,21
24435,,,,,,20
24436,,,,,,11
24437,,,,,,12
24438,,,,,,30
24439,,,,,,16
24440,,,,,,30
24441,,,,,,90
24442,,,,,,24
24443,,,,,,67
24444,,,,,,90
24445,,,,,,61
24446,,,,,,72
24447,,,,,,67
24448,,,,,,90
24449,,,,,,66
24450,,,,,,76
24451,,,,,,70
24452,,,,,,81
24453,,,,,,25
24454,,,,,,45
24455,,,,,,90
24456,,,,,,62
24457,,,,,,90
24458,,,,,,90
24459,,,,,,61
24460,,,,,,90
24461,,,,,,45
24462,,,,,,84
24463,,,,,,90
24464,,,,,,45
24465,,,,,,45
24466,,,,,,90
24467,,,,,,45
24468,,,,,,1
24469,,,,,,90
24470,,,,,,90
24471,,,,,,90
24472,,,,,,68
24473,,,,,,80
24474,,,,,,90
24475,,,,,,70
24476,,,,,,90
24477,,,,,,90
24478,,,,,,90
24479,,,,,,90
24480,,,,,,90
24481,,,,,,90
24482,,,,,,90
24483,,,,,,2
24484,,,,,,90
24485,,,,,,90
24486,,,,,,90
24487,,,,,,59
24488,,,,,,3
24489,,,,,,6
24490,,,,,,2
24491,,,,,,90
24492,,,,,,68
24493,,,,,,6
24494,,,,,,22
24495,,,,,,45
24496,,,,,,90
24497,,,,,,90
24498,,,,,,90
24499,,,,,,85
24500,,,,,,90
24501,,,,,,81
24502,,,,,,90
24503,,,,,,45
24504,,,,,,45
24505,,,,,,45
24506,,,,,,1
24507,,,,,,73
24508,,,,,,1
24509,,,,,,73
24510,,,,,,78
24511,,,,,,12
24512,,,,,,50
24513,,,,,,12
24514,,,,,,18
24515,,,,,,22
24516,,,,,,90
24517,,,,,,70
24518,,,,,,28
24519,,,,,,12
24520,,,,,,20
24521,,,,,,81
24522,,,,,,16
24523,,,,,,58
24524,,,,,,1
24525,,,,,,16
24526,,,,,,76
24527,,,,,,57
24528,,,,,,17
24529,,,,,,58
24530,,,,,,90
24531,,,,,,10
24532,,,,,,90
24533,,,,,,76
24534,,,,,,90
24535,,,,,,73
24536,,,,,,90
24537,,,,,,90
24538,,,,,,62
24539,,,,,,28
24540,,,,,,71
24541,,,,,,90
24542,,,,,,90
24543,,,,,,1
24544,,,,,,72
24545,,,,,,90
24546,,,,,,90
24547,,,,,,85
24548,,,,,,90
24549,,,,,,75
24550,,,,,,45
24551,,,,,,90
24552,,,,,,90
24553,,,,,,25
24554,,,,,,90
24555,,,,,,45
24556,,,,,,90
24557,,,,,,90
24558,,,,,,45
24559,,,,,,34
24560,,,,,,90
24561,,,,,,90
24562,,,,,,90
24563,,,,,,45
24564,,,,,,45
24565,,,,,,90
24566,,,,,,90
24567,,,,,,4
24568,,,,,,83
24569,,,,,,90
24570,,,,,,45
24571,,,,,,45
24572,,,,,,67
24573,,,,,,3
24574,,,,,,30
24575,,,,,,21
24576,,,,,,90
24577,,,,,,90
24578,,,,,,90
24579,,,,,,18
24580,,,,,,12
24581,,,,,,9
24582,,,,,,10
24583,,,,,,26
24584,,,,,,8
24585,,,,,,4
24586,,,,,,13
24587,,,,,,35
24588,,,,,,29
24589,,,,,,23
24590,,,,,,18
24591,,,,,,16
24592,,,,,,69
24593,,,,,,45
24594,,,,,,45
24595,,,,,,83
24596,,,,,,70
24597,,,,,,32
24598,,,,,,90
24599,,,,,,90
24600,,,,,,68
24601,,,,,,45
24602,,,,,,69
24603,,,,,,79
24604,,,,,,64
24605,,,,,,78
24606,,,,,,45
24607,,,,,,67
24608,,,,,,63
24609,,,,,,68
24610,,,,,,73
24611,,,,,,16
24612,,,,,,90
24613,,,,,,56
24614,,,,,,25
24615,,,,,,23
24616,,,,,,78
24617,,,,,,65
24618,,,,,,34
24619,,,,,,32
24620,,,,,,62
24621,,,,,,12
24622,,,,,,30
24623,,,,,,63
24624,,,,,,45
24625,,,,,,11
24626,,,,,,24
24627,,,,,,61
24628,,,,,,45
24629,,,,,,75
24630,,,,,,67
24631,,,,,,18
24632,,,,,,7
24633,,,,,,76
24634,,,,,,56
24635,,,,,,90
24636,,,,,,7
24637,,,,,,63
24638,,,,,,45
24639,,,,,,45
24640,,,,,,84
24641,,,,,,90
24642,,,,,,32
24643,,,,,,90
24644,,,,,,4
24645,,,,,,66
24646,,,,,,90
24647,,,,,,63
24648,,,,,,90
24649,,,,,,90
24650,,,,,,90
24651,,,,,,90
24652,,,,,,70
24653,,,,,,79
24654,,,,,,88
24655,,,,,,90
24656,,,,,,80
24657,,,,,,90
24658,,,,,,85
24659,,,,,,90
24660,,,,,,29
24661,,,,,,90
24662,,,,,,90
24663,,,,,,87
24664,,,,,,45
24665,,,,,,90
24666,,,,,,90
24667,,,,,,90
24668,,,,,,90
24669,,,,,,12
24670,,,,,,90
24671,,,,,,2
24672,,,,,,90
24673,,,,,,90
24674,,,,,,90
24675,,,,,,90
24676,,,,,,15
24677,,,,,,90
24678,,,,,,75
24679,,,,,,15
24680,,,,,,90
24681,,,,,,90
24682,,,,,,23
24683,,,,,,90
24684,,,,,,90
24685,,,,,,54
24686,,,,,,45
24687,,,,,,45
24688,,,,,,21
24689,,,,,,16
24690,,,,,,90
24691,,,,,,90
24692,,,,,,45
24693,,,,,,90
24694,,,,,,90
24695,,,,,,120
24696,,,,,,120
24697,,,,,,90
24698,,,,,,90
24699,,,,,,90
24700,,,,,,120
24701,,,,,,90
24702,,,,,,9
24703,,,,,,1
24704,,,,,,90
24705,,,,,,90
24706,,,,,,90
24707,,,,,,65
24708,,,,,,45
24709,,,,,,84
24710,,,,,,2
24711,,,,,,62
24712,,,,,,79
24713,,,,,,63
24714,,,,,,8
24715,,,,,,17
24716,,,,,,62
24717,,,,,,24
24718,,,,,,73
24719,,,,,,25
24720,,,,,,45
24721,,,,,,6
24722,,,,,,88
24723,,,,,,28
24724,,,,,,58
24725,,,,,,27
24726,,,,,,82
24727,,,,,,72
24728,,,,,,45
24729,,,,,,52
24730,,,,,,90
24731,,,,,,90
24732,,,,,,45
24733,,,,,,90
24734,,,,,,90
24735,,,,,,12
24736,,,,,,23
24737,,,,,,90
24738,,,,,,90
24739,,,,,,90
24740,,,,,,90
24741,,,,,,90
24742,,,,,,90
24743,,,,,,90
24744,,,,,,90
24745,,,,,,90
24746,,,,,,90
24747,,,,,,90
24748,,,,,,23
24749,,,,,,21
24750,,,,,,1
24751,,,,,,24
24752,,,,,,29
24753,,,,,,45
24754,,,,,,5
24755,,,,,,4
24756,,,,,,20
24757,,,,,,90
24758,,,,,,86
24759,,,,,,90
24760,,,,,,90
24761,,,,,,90
24762,,,,,,90
24763,,,,,,9
24764,,,,,,45
24765,,,,,,69
24766,,,,,,28
24767,,,,,,65
24768,,,,,,57
24769,,,,,,19
24770,,,,,,65
24771,,,,,,12
24772,,,,,,66
24773,,,,,,27
24774,,,,,,90
24775,,,,,,30
24776,,,,,,90
24777,,,,,,90
24778,,,,,,21
24779,,,,,,30
24780,,,,,,45
24781,,,,,,90
24782,,,,,,90
24783,,,,,,90
24784,,,,,,90
24785,,,,,,90
24786,,,,,,90
24787,,,,,,22
24788,,,,,,1
24789,,,,,,45
24790,,,,,,90
24791,,,,,,90
24792,,,,,,90
24793,,,,,,90
24794,,,,,,90
24795,,,,,,90
24796,,,,,,90
24797,,,,,,90
24798,,,,,,45
24799,,,,,,45
24800,,,,,,90
24801,,,,,,90
24802,,,,,,90
24803,,,,,,90
24804,,,,,,90
24805,,,,,,90
24806,,,,,,45
24807,,,,,,7
24808,,,,,,19
24809,,,,,,88
24810,,,,,,1
24811,,,,,,30
24812,,,,,,90
24813,,,,,,90
24814,,,,,,1
24815,,,,,,25
24816,,,,,,90
24817,,,,,,45
24818,,,,,,90
24819,,,,,,20
24820,,,,,,90
24821,,,,,,85
24822,,,,,,90
24823,,,,,,90
24824,,,,,,15
24825,,,,,,45
24826,,,,,,90
24827,,,,,,90
24828,,,,,,90
24829,,,,,,61
24830,,,,,,90
24831,,,,,,90
24832,,,,,,90
24833,,,,,,90
24834,,,,,,90
24835,,,,,,7
24836,,,,,,30
24837,,,,,,24
24838,,,,,,1
24839,,,,,,45
24840,,,,,,90
24841,,,,,,90
24842,,,,,,61
24843,,,,,,70
24844,,,,,,8
24845,,,,,,90
24846,,,,,,69
24847,,,,,,120
24848,,,,,,70
24849,,,,,,68
24850,,,,,,1
24851,,,,,,13
24852,,,,,,2
24853,,,,,,2
24854,,,,,,45
24855,,,,,,45
24856,,,,,,1
24857,,,,,,82
24858,,,,,,2
24859,,,,,,73
24860,,,,,,75
24861,,,,,,77
24862,,,,,,68
24863,,,,,,7
24864,,,,,,83
24865,,,,,,13
24866,,,,,,74
24867,,,,,,2
24868,,,,,,73
24869,,,,,,7
24870,,,,,,61
24871,,,,,,90
24872,,,,,,2
24873,,,,,,25
24874,,,,,,45
24875,,,,,,26
24876,,,,,,81
24877,,,,,,45
24878,,,,,,45
24879,,,,,,61
24880,,,,,,66
24881,,,,,,21
24882,,,,,,25
24883,,,,,,30
24884,,,,,,59
24885,,,,,,23
24886,,,,,,9
24887,,,,,,2
24888,,,,,,16
24889,,,,,,90
24890,,,,,,30
24891,,,,,,90
24892,,,,,,45
24893,,,,,,45
24894,,,,,,45
24895,,,,,,64
24896,,,,,,45
24897,,,,,,90
24898,,,,,,45
24899,,,,,,90
24900,,,,,,64
24901,,,,,,29
24902,,,,,,90
24903,,,,,,75
24904,,,,,,90
24905,,,,,,45
24906,,,,,,69
24907,,,,,,90
24908,,,,,,45
24909,,,,,,90
24910,,,,,,90
24911,,,,,,4
24912,,,,,,90
24913,,,,,,90
24914,,,,,,90
24915,,,,,,90
24916,,,,,,19
24917,,,,,,20
24918,,,,,,90
24919,,,,,,17
24920,,,,,,90
24921,,,,,,90
24922,,,,,,90
24923,,,,,,87
24924,,,,,,90
24925,,,,,,80
24926,,,,,,45
24927,,,,,,90
24928,,,,,,102
24929,,,,,,90
24930,,,,,,90
24931,,,,,,90
24932,,,,,,9
24933,,,,,,12
24934,,,,,,45
24935,,,,,,90
24936,,,,,,90
24937,,,,,,10
24938,,,,,,45
24939,,,,,,45
24940,,,,,,8
24941,,,,,,71
24942,,,,,,90
24943,,,,,,25
24944,,,,,,76
24945,,,,,,70
24946,,,,,,12
24947,,,,,,16
24948,,,,,,59
24949,,,,,,7
24950,,,,,,79
24951,,,,,,86
24952,,,,,,78
24953,,,,,,52
24954,,,,,,90
24955,,,,,,69
24956,,,,,,15
24957,,,,,,90
24958,,,,,,90
24959,,,,,,67
24960,,,,,,64
24961,,,,,,19
24962,,,,,,90
24963,,,,,,79
24964,,,,,,90
24965,,,,,,78
24966,,,,,,79
24967,,,,,,77
24968,,,,,,20
24969,,,,,,120
24970,,,,,,21
24971,,,,,,90
24972,,,,,,33
24973,,,,,,90
24974,,,,,,45
24975,,,,,,72
24976,,,,,,82
24977,,,,,,59
24978,,,,,,90
24979,,,,,,77
24980,,,,,,35
24981,,,,,,56
24982,,,,,,11
24983,,,,,,23
24984,,,,,,54
24985,,,,,,72
24986,,,,,,45
24987,,,,,,71
24988,,,,,,31
24989,,,,,,80
24990,,,,,,70
24991,,,,,,30
24992,,,,,,60
24993,,,,,,26
24994,,,,,,71
24995,,,,,,73
24996,,,,,,15
24997,,,,,,67
24998,,,,,,58
24999,,,,,,90
25000,,,,,,90
25001,,,,,,66
25002,,,,,,90
25003,,,,,,90
25004,,,,,,14
25005,,,,,,56
25006,,,,,,45
25007,,,,,,61
25008,,,,,,45
25009,,,,,,26
25010,,,,,,30
25011,,,,,,21
25012,,,,,,45
25013,,,,,,45
25014,,,,,,90
25015,,,,,,90
25016,,,,,,27
25017,,,,,,35
25018,,,,,,90
25019,,,,,,90
25020,,,,,,24
25021,,,,,,90
25022,,,,,,71
25023,,,,,,90
25024,,,,,,90
25025,,,,,,38
25026,,,,,,30
25027,,,,,,4
25028,,,,,,1
25029,,,,,,82
25030,,,,,,66
25031,,,,,,22
25032,,,,,,13
25033,,,,,,90
25034,,,,,,45
25035,,,,,,7
25036,,,,,,45
25037,,,,,,90
25038,,,,,,90
25039,,,,,,90
25040,,,,,,50
25041,,,,,,90
25042,,,,,,45
25043,,,,,,90
25044,,,,,,12
25045,,,,,,90
25046,,,,,,90
25047,,,,,,90
25048,,,,,,90
25049,,,,,,90
25050,,,,,,90
25051,,,,,,5
25052,,,,,,90
25053,,,,,,90
25054,,,,,,83
25055,,,,,,90
25056,,,,,,90
25057,,,,,,90
25058,,,,,,120
25059,,,,,,34
25060,,,,,,64
25061,,,,,,90
25062,,,,,,79
25063,,,,,,42
25064,,,,,,90
25065,,,,,,90
25066,,,,,,90
25067,,,,,,90
25068,,,,,,45
25069,,,,,,90
25070,,,,,,90
25071,,,,,,90
25072,,,,,,110
25073,,,,,,90
25074,,,,,,90
25075,,,,,,90
25076,,,,,,83
25077,,,,,,74
25078,,,,,,71
25079,,,,,,19
25080,,,,,,90
25081,,,,,,45
25082,,,,,,45
25083,,,,,,90
25084,,,,,,90
25085,,,,,,90
25086,,,,,,90
25087,,,,,,12
25088,,,,,,90
25089,,,,,,90
25090,,,,,,90
25091,,,,,,45
25092,,,,,,90
25093,,,,,,45
25094,,,,,,25
25095,,,,,,45
25096,,,,,,45
25097,,,,,,90
25098,,,,,,18
25099,,,,,,70
25100,,,,,,81
25101,,,,,,1
25102,,,,,,2
25103,,,,,,45
25104,,,,,,38
25105,,,,,,59
25106,,,,,,19
25107,,,,,,15
25108,,,,,,24
25109,,,,,,1
25110,,,,,,13
25111,,,,,,14
25112,,,,,,90
25113,,,,,,89
25114,,,,,,54
25115,,,,,,90
25116,,,,,,90
25117,,,,,,77
25118,,,,,,63
25119,,,,,,90
25120,,,,,,34
25121,,,,,,72
25122,,,,,,82
25123,,,,,,68
25124,,,,,,89
25125,,,,,,76
25126,,,,,,20
25127,,,,,,78
25128,,,,,,61
25129,,,,,,42
25130,,,,,,78
25131,,,,,,45
25132,,,,,,14
25133,,,,,,60
25134,,,,,,18
25135,,,,,,68
25136,,,,,,90
25137,,,,,,45
25138,,,,,,85
25139,,,,,,45
25140,,,,,,45
25141,,,,,,12
25142,,,,,,5
25143,,,,,,45
25144,,,,,,79
25145,,,,,,36
25146,,,,,,83
25147,,,,,,8
25148,,,,,,90
25149,,,,,,61
25150,,,,,,78
25151,,,,,,90
25152,,,,,,66
25153,,,,,,55
25154,,,,,,60
25155,,,,,,16
25156,,,,,,12
25157,,,,,,68
25158,,,,,,45
25159,,,,,,2
25160,,,,,,14
25161,,,,,,29
25162,,,,,,90
25163,,,,,,90
25164,,,,,,66
25165,,,,,,8
25166,,,,,,33
25167,,,,,,82
25168,,,,,,90
25169,,,,,,90
25170,,,,,,90
25171,,,,,,90
25172,,,,,,90
25173,,,,,,82
25174,,,,,,70
25175,,,,,,45
25176,,,,,,18
25177,,,,,,45
25178,,,,,,83
25179,,,,,,82
25180,,,,,,79
25181,,,,,,15
25182,,,,,,90
25183,,,,,,57
25184,,,,,,60
25185,,,,,,87
25186,,,,,,73
25187,,,,,,90
25188,,,,,,90
25189,,,,,,90
25190,,,,,,84
25191,,,,,,71
25192,,,,,,64
25193,,,,,,18
25194,,,,,,80
25195,,,,,,28
25196,,,,,,6
25197,,,,,,80
25198,,,,,,90
25199,,,,,,90
25200,,,,,,1
25201,,,,,,85
25202,,,,,,45
25203,,,,,,90
25204,,,,,,17
25205,,,,,,90
25206,,,,,,2
25207,,,,,,90
25208,,,,,,90
25209,,,,,,90
25210,,,,,,75
25211,,,,,,80
25212,,,,,,90
25213,,,,,,19
25214,,,,,,30
25215,,,,,,90
25216,,,,,,90
25217,,,,,,4
25218,,,,,,76
25219,,,,,,90
25220,,,,,,90
25221,,,,,,90
25222,,,,,,90
25223,,,,,,90
25224,,,,,,90
25225,,,,,,90
25226,,,,,,90
25227,,,,,,59
25228,,,,,,90
25229,,,,,,90
25230,,,,,,90
25231,,,,,,90
25232,,,,,,60
25233,,,,,,90
25234,,,,,,90
25235,,,,,,90
25236,,,,,,90
25237,,,,,,90
25238,,,,,,90
25239,,,,,,90
25240,,,,,,90
25241,,,,,,69
25242,,,,,,90
25243,,,,,,90
25244,,,,,,90
25245,,,,,,90
25246,,,,,,90
25247,,,,,,84
25248,,,,,,90
25249,,,,,,74
25250,,,,,,73
25251,,,,,,61
25252,,,,,,85
25253,,,,,,90
25254,,,,,,67
25255,,,,,,90
25256,,,,,,90
25257,,,,,,73
25258,,,,,,90
25259,,,,,,90
25260,,,,,,81
25261,,,,,,36
25262,,,,,,90
25263,,,,,,79
25264,,,,,,90
25265,,,,,,22
25266,,,,,,45
25267,,,,,,1
25268,,,,,,90
25269,,,,,,90
25270,,,,,,90
25271,,,,,,10
25272,,,,,,90
25273,,,,,,30
25274,,,,,,90
25275,,,,,,90
25276,,,,,,90
25277,,,,,,90
25278,,,,,,45
25279,,,,,,90
25280,,,,,,29
25281,,,,,,45
25282,,,,,,76
25283,,,,,,90
25284,,,,,,90
25285,,,,,,85
25286,,,,,,90
25287,,,,,,90
25288,,,,,,81
25289,,,,,,90
25290,,,,,,90
25291,,,,,,74
25292,,,,,,17
25293,,,,,,88
25294,,,,,,80
25295,,,,,,31
25296,,,,,,39
25297,,,,,,85
25298,,,,,,84
25299,,,,,,70
25300,,,,,,90
25301,,,,,,90
25302,,,,,,90
25303,,,,,,90
25304,,,,,,90
25305,,,,,,90
25306,,,,,,90
25307,,,,,,90
25308,,,,,,90
25309,,,,,,90
25310,,,,,,90
25311,,,,,,90
25312,,,,,,90
25313,,,,,,90
25314,,,,,,90
25315,,,,,,90
25316,,,,,,90
25317,,,,,,90
25318,,,,,,120
25319,,,,,,83
25320,,,,,,90
25321,,,,,,90
25322,,,,,,90
25323,,,,,,90
25324,,,,,,45
25325,,,,,,90
25326,,,,,,90
25327,,,,,,57
25328,,,,,,90
25329,,,,,,24
25330,,,,,,90
25331,,,,,,85
25332,,,,,,90
25333,,,,,,30
25334,,,,,,90
25335,,,,,,90
25336,,,,,,90
25337,,,,,,32
25338,,,,,,51
25339,,,,,,2
25340,,,,,,45
25341,,,,,,8
25342,,,,,,26
25343,,,,,,81
25344,,,,,,79
25345,,,,,,90
25346,,,,,,58
25347,,,,,,23
25348,,,,,,3
25349,,,,,,85
25350,,,,,,90
25351,,,,,,90
25352,,,,,,59
25353,,,,,,14
25354,,,,,,90
25355,,,,,,69
25356,,,,,,26
25357,,,,,,45
25358,,,,,,10
25359,,,,,,17
25360,,,,,,84
25361,,,,,,79
25362,,,,,,25
25363,,,,,,90
25364,,,,,,82
25365,,,,,,87
25366,,,,,,90
25367,,,,,,85
25368,,,,,,81
25369,,,,,,32
25370,,,,,,82
25371,,,,,,30
25372,,,,,,68
25373,,,,,,23
25374,,,,,,90
25375,,,,,,45
25376,,,,,,90
25377,,,,,,74
25378,,,,,,64
25379,,,,,,68
25380,,,,,,14
25381,,,,,,8
25382,,,,,,90
25383,,,,,,56
25384,,,,,,61
25385,,,,,,72
25386,,,,,,90
25387,,,,,,45
25388,,,,,,87
25389,,,,,,56
25390,,,,,,5
25391,,,,,,45
25392,,,,,,45
25393,,,,,,45
25394,,,,,,18
25395,,,,,,90
25396,,,,,,90
25397,,,,,,45
25398,,,,,,90
25399,,,,,,82
25400,,,,,,90
25401,,,,,,83
25402,,,,,,90
25403,,,,,,90
25404,,,,,,90
25405,,,,,,90
25406,,,,,,90
25407,,,,,,90
25408,,,,,,90
25409,,,,,,45
25410,,,,,,90
25411,,,,,,90
25412,,,,,,72
25413,,,,,,90
25414,,,,,,90
25415,,,,,,90
25416,,,,,,90
25417,,,,,,90
25418,,,,,,90
25419,,,,,,90
25420,,,,,,90
25421,,,,,,90
25422,,,,,,90
25423,,,,,,90
25424,,,,,,21
25425,,,,,,56
25426,,,,,,58
25427,,,,,,90
25428,,,,,,73
25429,,,,,,90
25430,,,,,,70
25431,,,,,,73
25432,,,,,,90
25433,,,,,,90
25434,,,,,,33
25435,,,,,,90
25436,,,,,,90
25437,,,,,,90
25438,,,,,,90
25439,,,,,,90
25440,,,,,,90
25441,,,,,,90
25442,,,,,,45
25443,,,,,,45
25444,,,,,,45
25445,,,,,,12
25446,,,,,,12
25447,,,,,,90
25448,,,,,,90
25449,,,,,,12
25450,,,,,,70
25451,,,,,,90
25452,,,,,,90
25453,,,,,,75
25454,,,,,,45
25455,,,,,,90
25456,,,,,,68
25457,,,,,,90
25458,,,,,,64
25459,,,,,,90
25460,,,,,,60
25461,,,,,,28
25462,,,,,,5
25463,,,,,,45
25464,,,,,,90
25465,,,,,,54
25466,,,,,,60
25467,,,,,,45
25468,,,,,,90
25469,,,,,,90
25470,,,,,,60
25471,,,,,,85
25472,,,,,,90
25473,,,,,,44
25474,,,,,,45
25475,,,,,,1
25476,,,,,,71
25477,,,,,,45
25478,,,,,,90
25479,,,,,,45
25480,,,,,,90
25481,,,,,,90
25482,,,,,,45
25483,,,,,,90
25484,,,,,,90
25485,,,,,,90
25486,,,,,,45
25487,,,,,,28
25488,,,,,,45
25489,,,,,,90
25490,,,,,,90
25491,,,,,,90
25492,,,,,,90
25493,,,,,,64
25494,,,,,,90
25495,,,,,,90
25496,,,,,,84
25497,,,,,,33
25498,,,,,,65
25499,,,,,,45
25500,,,,,,2
25501,,,,,,88
25502,,,,,,62
25503,,,,,,10
25504,,,,,,66
25505,,,,,,14
25506,,,,,,15
25507,,,,,,66
25508,,,,,,45
25509,,,,,,1
25510,,,,,,61
25511,,,,,,45
25512,,,,,,45
25513,,,,,,70
25514,,,,,,14
25515,,,,,,73
25516,,,,,,45
25517,,,,,,5
25518,,,,,,45
25519,,,,,,27
25520,,,,,,90
25521,,,,,,81
25522,,,,,,90
25523,,,,,,90
25524,,,,,,72
25525,,,,,,15
25526,,,,,,90
25527,,,,,,88
25528,,,,,,65
25529,,,,,,45
25530,,,,,,12
25531,,,,,,1
25532,,,,,,76
25533,,,,,,90
25534,,,,,,45
25535,,,,,,66
25536,,,,,,32
25537,,,,,,7
25538,,,,,,62
25539,,,,,,90
25540,,,,,,45
25541,,,,,,32
25542,,,,,,90
25543,,,,,,90
25544,,,,,,8
25545,,,,,,63
25546,,,,,,64
25547,,,,,,56
25548,,,,,,26
25549,,,,,,76
25550,,,,,,73
25551,,,,,,74
25552,,,,,,4
25553,,,,,,45
25554,,,,,,45
25555,,,,,,82
25556,,,,,,90
25557,,,,,,81
25558,,,,,,90
25559,,,,,,90
25560,,,,,,64
25561,,,,,,1
25562,,,,,,67
25563,,,,,,90
25564,,,,,,2
25565,,,,,,61
25566,,,,,,13
25567,,,,,,20
25568,,,,,,45
25569,,,,,,45
25570,,,,,,90
25571,,,,,,45
25572,,,,,,1
25573,,,,,,61
25574,,,,,,45
25575,,,,,,45
25576,,,,,,15
25577,,,,,,22
25578,,,,,,45
25579,,,,,,45
25580,,,,,,60
25581,,,,,,90
25582,,,,,,45
