,id_tfmk,nombre,url_tfmk,nombre_tfmk,bandera,fecha_nacimiento,edad,pais,altura,posicion,pie,fecha_fichaje,id_equipo
8545,389253,Auston Trusty,/auston-trusty/profil/spieler/389253,auston-trusty,https://tmssl.akamaized.net/images/flagge/verysmall/184.png?lm=1520611569,12/08/1998,25,Estados Unidos,1.90,Defensa central,izquierdo,03/08/2023,350
8546,121324,John Egan,/john-egan/profil/spieler/121324,john-egan,https://tmssl.akamaized.net/images/flagge/verysmall/72.png?lm=1520611569,20/10/1992,31,Irlanda,1.85,Defensa central,derecho,19/07/2018,350
8547,348623,Mason Holgate,/mason-holgate/profil/spieler/348623,mason-holgate,https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569,22/10/1996,27,Inglaterra,1.87,Defensa central,derecho,01/02/2024,350
8548,128909,Jack Robinson,/jack-robinson/profil/spieler/128909,jack-robinson,https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569,01/09/1993,30,Inglaterra,1.80,Defensa central,izquierdo,21/01/2020,350
8549,52495,Chris Basham,/chris-basham/profil/spieler/52495,chris-basham,https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569,20/07/1988,35,Inglaterra,1.90,Defensa central,derecho,01/07/2014,350
8550,554251,Yasser Larouci,/yasser-larouci/profil/spieler/554251,yasser-larouci,https://tmssl.akamaized.net/images/flagge/verysmall/4.png?lm=1520611569,01/01/2001,23,Argelia,1.76,Lateral izquierdo,izquierdo,17/07/2023,350
8551,258885,Max Lowe,/max-lowe/profil/spieler/258885,max-lowe,https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569,11/05/1997,26,Inglaterra,1.75,Lateral izquierdo,izquierdo,07/09/2020,350
8552,543164,Rhys Norrington-Davies,/rhys-norrington-davies/profil/spieler/543164,rhys-norrington-davies,https://tmssl.akamaized.net/images/flagge/verysmall/191.png?lm=1520611569,22/04/1999,24,Gales,1.81,Lateral izquierdo,izquierdo,01/07/2019,350
8553,465717,Jayden Bogle,/jayden-bogle/profil/spieler/465717,jayden-bogle,https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569,27/07/2000,23,Inglaterra,1.78,Lateral derecho,derecho,07/09/2020,350
8554,146690,George Baldock,/george-baldock/profil/spieler/146690,george-baldock,https://tmssl.akamaized.net/images/flagge/verysmall/56.png?lm=1520611569,09/03/1993,30,Grecia,1.78,Lateral derecho,derecho,01/07/2017,350
8555,322985,Gustavo Hamer,/gustavo-hamer/profil/spieler/322985,gustavo-hamer,https://tmssl.akamaized.net/images/flagge/verysmall/122.png?lm=1520611569,24/06/1997,26,Países Bajos,1.69,Pivote,derecho,12/08/2023,350
8556,663581,Vini Souza,/vini-souza/profil/spieler/663581,vini-souza,https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569,17/06/1999,24,Brasil,1.87,Pivote,derecho,09/08/2023,350
8557,583199,James McAtee,/james-mcatee/profil/spieler/583199,james-mcatee,https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569,18/10/2002,21,Inglaterra,1.80,Mediocentro,izquierdo,01/09/2023,350
8558,314210,Tom Davies,/tom-davies/profil/spieler/314210,tom-davies,https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569,30/06/1998,25,Inglaterra,1.80,Mediocentro,derecho,16/08/2023,350
8559,546712,Anis Slimane,/anis-slimane/profil/spieler/546712,anis-slimane,https://tmssl.akamaized.net/images/flagge/verysmall/173.png?lm=1520611569,16/03/2001,22,Túnez,1.88,Mediocentro,ambidiestro,13/07/2023,350
8560,73547,Oliver Norwood,/oliver-norwood/profil/spieler/73547,oliver-norwood,https://tmssl.akamaized.net/images/flagge/verysmall/192.png?lm=1520611569,12/04/1991,32,Irlanda del Norte,1.75,Mediocentro,derecho,04/01/2019,350
8561,218087,Ben Osborn,/ben-osborn/profil/spieler/218087,ben-osborn,https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569,05/08/1994,29,Inglaterra,1.76,Mediocentro,izquierdo,26/07/2019,350
8562,746739,Andre Brooks,/andre-brooks/profil/spieler/746739,andre-brooks,https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569,20/08/2003,20,Inglaterra,1.80,Interior izquierdo,izquierdo,01/07/2023,350
8563,426192,Ben Brereton Díaz,/ben-brereton-diaz/profil/spieler/426192,ben-brereton-diaz,https://tmssl.akamaized.net/images/flagge/verysmall/33.png?lm=1520611569,18/04/1999,24,Chile,1.85,Extremo izquierdo,derecho,05/01/2024,350
8564,533662,Cameron Archer,/cameron-archer/profil/spieler/533662,cameron-archer,https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569,09/12/2001,22,Inglaterra,1.75,Delantero centro,derecho,27/08/2023,350
8565,298477,Oli McBurnie,/oli-mcburnie/profil/spieler/298477,oli-mcburnie,https://tmssl.akamaized.net/images/flagge/verysmall/190.png?lm=1520611569,04/06/1996,27,Escocia,1.88,Delantero centro,derecho,02/08/2019,350
8566,406560,Rhian Brewster,/rhian-brewster/profil/spieler/406560,rhian-brewster,https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569,01/04/2000,23,Inglaterra,1.80,Delantero centro,derecho,02/10/2020,350
8567,609556,William Osula,/william-osula/profil/spieler/609556,william-osula,https://tmssl.akamaized.net/images/flagge/verysmall/39.png?lm=1520611569,04/08/2003,20,Dinamarca,1.86,Delantero centro,derecho,01/07/2022,350
8568,746740,Daniel Jebbison,/daniel-jebbison/profil/spieler/746740,daniel-jebbison,https://tmssl.akamaized.net/images/flagge/verysmall/80.png?lm=1520611569,13/08/2003,20,Canadá,1.90,Delantero centro,derecho,01/07/2021,350
8569,874043,Louie Marsh,/louie-marsh/profil/spieler/874043,louie-marsh,https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569,16/10/2003,20,Inglaterra,1.86,Delantero centro,derecho,-,350
8570,566799,James Trafford,/james-trafford/profil/spieler/566799,james-trafford,https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569,10/10/2002,21,Inglaterra,1.92,Portero,derecho,20/07/2023,1132
8571,371021,Arijanet Muric,/arijanet-muric/profil/spieler/371021,arijanet-muric,https://tmssl.akamaized.net/images/flagge/verysmall/244.png?lm=1520611569,07/11/1998,25,Kosovo,1.98,Portero,derecho,22/07/2022,1132
8572,243591,Lawrence Vigouroux,/lawrence-vigouroux/profil/spieler/243591,lawrence-vigouroux,https://tmssl.akamaized.net/images/flagge/verysmall/33.png?lm=1520611569,19/11/1993,30,Chile,1.94,Portero,izquierdo,01/07/2023,1132
