id_jugador,nombre,url_jugador,nombre_tfmk,fecha_nacimiento,edad,id_pais,altura,posicion,id_club_anterior,pie,fecha_fichaje,id_club,id_temporada,foto_jugador
321082,Gabriel Kyeremateng,/gabriel-kyeremateng/profil/spieler/321082,gabriel-kyeremateng,28/04/1999,22,40,1.83,Delantero centro,24219,derecho,11/10/2020,938,2020,321082
365117,Zemerart Lekaj,/zemerart-lekaj/profil/spieler/365117,zemerart-lekaj,19/10/2000,20,148,1.87,Delantero centro,10400,derecho,01/07/2022,938,2020,365117
322509,Joel Fuhrer,/joel-fuhrer/profil/spieler/322509,joel-fuhrer,18/10/1998,22,148,1.82,Delantero centro,10400, ,26/08/2020,938,2020,322509
237664,Simon Enzler,/simon-enzler/profil/spieler/237664,simon-enzler,16/10/1997,23,148,1.86,Portero,434,derecho,01/07/2021,116,2020,237664
388212,Anthony von Arx,/anthony-von-arx/profil/spieler/388212,anthony-von-arx,23/07/2001,19,148,-,Portero,8520,derecho,01/07/2019,116,2020,388212
387984,Nicholas Ammeter,/nicholas-ammeter/profil/spieler/387984,nicholas-ammeter,11/12/2000,20,148,1.88,Portero,21243,derecho,07/01/2018,116,2020,387984
228478,Leon Bergsma,/leon-bergsma/profil/spieler/228478,leon-bergsma,25/01/1997,24,122,1.86,Defensa central,1090,ambidiestro,02/09/2020,116,2020,228478
235491,Marco Thaler,/marco-thaler/profil/spieler/235491,marco-thaler,28/06/1994,27,148,1.85,Defensa central,747,derecho,01/07/2014,116,2020,235491
629408,Binjamin Hasani,/binjamin-hasani/profil/spieler/629408,binjamin-hasani,22/04/2003,18,148,1.85,Defensa central,21243,derecho,18/01/2021,116,2020,629408
65287,Nicolas Schindelholz,/nicolas-schindelholz/profil/spieler/65287,nicolas-schindelholz,12/02/1988,33,148,1.80,Defensa central,434,derecho,01/07/2018,116,2020,65287
629387,Fabrice Suter,/fabrice-suter/profil/spieler/629387,fabrice-suter,28/05/2003,18,148,1.85,Defensa central,21243,derecho,12/08/2021,116,2020,629387
410604,Bastien Conus,/bastien-conus/profil/spieler/410604,bastien-conus,09/02/1998,23,148,1.73,Lateral izquierdo,510,derecho,15/02/2021,116,2020,410604
388223,Stevan Lujic,/stevan-lujic/profil/spieler/388223,stevan-lujic,25/03/2002,19,148,1.80,Lateral izquierdo,21243,izquierdo,01/07/2019,116,2020,388223
629392,Flavio Caserta,/flavio-caserta/profil/spieler/629392,flavio-caserta,22/08/2003,17,148,1.79,Lateral izquierdo,21243,izquierdo,12/08/2020,116,2020,629392
203360,Bryan Verboom,/bryan-verboom/profil/spieler/203360,bryan-verboom,30/01/1992,29,19,1.76,Lateral izquierdo,10107,izquierdo,27/08/2020,116,2020,203360
192613,Mateo Matic,/mateo-matic/profil/spieler/192613,mateo-matic,07/01/1996,25,148,1.85,Portero,5502,derecho,02/02/2016,504,2020,192613
147027,Mirko Salvi,/mirko-salvi/profil/spieler/147027,mirko-salvi,14/02/1994,27,148,1.88,Portero,26,derecho,01/07/2018,504,2020,147027
195383,Matthias Minder,/matthias-minder/profil/spieler/195383,matthias-minder,03/02/1993,28,148,1.89,Portero,625,izquierdo,30/09/2020,504,2020,195383
135471,Serif Berbic,/serif-berbic/profil/spieler/135471,serif-berbic,25/11/2001,19,148,1.94,Portero,-,derecho,,504,2020,135471
500763,Marvin Keller,/marvin-keller/profil/spieler/500763,marvin-keller,03/07/2002,18,148,1.89,Portero,5502,derecho,08/01/2020,504,2020,500763
606718,Toti,/toti/profil/spieler/606718,toti,16/01/1999,22,136,1.87,Defensa central,543,izquierdo,04/09/2020,504,2020,606718
262093,Aleksandar Cvetkovic,/aleksandar-cvetkovic/profil/spieler/262093,aleksandar-cvetkovic,04/06/1995,26,215,1.88,Defensa central,1978,derecho,16/02/2018,504,2020,262093
500751,Elias Mesonero,/elias-mesonero/profil/spieler/500751,elias-mesonero,27/03/2001,20,148,1.85,Defensa central,5502,derecho,08/01/2020,504,2020,500751
409884,Miguel Nóbrega,/miguel-nobrega/profil/spieler/409884,miguel-nobrega,17/04/2000,21,136,1.90,Defensa central,68780,derecho,30/09/2020,504,2020,409884
359409,Dominik Schmid,/dominik-schmid/profil/spieler/359409,dominik-schmid,10/03/1998,23,148,1.82,Lateral izquierdo,26,izquierdo,07/08/2020,504,2020,359409
500099,Fabio Fehr,/fabio-fehr/profil/spieler/500099,fabio-fehr,15/01/2000,21,148,1.79,Lateral izquierdo,5502,derecho,04/02/2020,504,2020,500099
66052,Ermir Lenjani,/ermir-lenjani/profil/spieler/66052,ermir-lenjani,05/08/1989,31,3,1.75,Lateral izquierdo,321,izquierdo,11/09/2020,504,2020,66052
601057,Anthony Goelzer,/anthony-goelzer/profil/spieler/601057,anthony-goelzer,12/09/1998,22,50,1.82,Lateral izquierdo,1423,izquierdo,05/02/2019,504,2020,601057
315970,Nadjack,/nadjack/profil/spieler/315970,nadjack,06/02/1994,27,60,1.84,Lateral derecho,2425,derecho,29/08/2020,504,2020,315970
293283,Oskar Buur,/oskar-buur/profil/spieler/293283,oskar-buur,31/03/1998,23,39,1.80,Lateral derecho,543,derecho,11/01/2021,504,2020,293283
500096,Marcin Dickenmann,/marcin-dickenmann/profil/spieler/500096,marcin-dickenmann,14/08/2000,20,148,1.75,Lateral derecho,-,derecho,,504,2020,500096
